keyword,date,naver_score
흑당버블티,2020-10-01,0.47962
흑당버블티,2020-11-01,0.41876
흑당버블티,2020-12-01,0.39319
흑당버블티,2021-01-01,0.39465
흑당버블티,2021-02-01,0.36727
흑당버블티,2021-03-01,0.39928
흑당버블티,2021-04-01,0.46079
흑당버블티,2021-05-01,0.46633
흑당버블티,2021-06-01,0.42148
흑당버블티,2021-07-01,0.42918
흑당버블티,2021-08-01,0.40845
흑당버블티,2021-09-01,0.35132
흑당버블티,2021-10-01,0.32706
흑당버블티,2021-11-01,0.27823
흑당버블티,2021-12-01,0.29973
흑당버블티,2022-01-01,0.32932
흑당버블티,2022-02-01,0.29786
흑당버블티,2022-03-01,0.32897
흑당버블티,2022-04-01,0.33184
흑당버블티,2022-05-01,0.40386
흑당버블티,2022-06-01,0.3942
흑당버블티,2022-07-01,0.42219
흑당버블티,2022-08-01,0.39234
흑당버블티,2022-09-01,0.35655
흑당버블티,2022-10-01,0.33878
흑당버블티,2022-11-01,0.22755
흑당버블티,2022-12-01,0.22659
흑당버블티,2023-01-01,0.27582
흑당버블티,2023-02-01,0.2807
흑당버블티,2023-03-01,0.29062
흑당버블티,2023-04-01,0.27597
흑당버블티,2023-05-01,0.2732
흑당버블티,2023-06-01,0.25901
흑당버블티,2023-07-01,0.25785
흑당버블티,2023-08-01,0.24949
흑당버블티,2023-09-01,0.2203
흑당버블티,2023-10-01,0.20701
흑당버블티,2023-11-01,0.16931
흑당버블티,2023-12-01,0.17661
흑당버블티,2024-01-01,0.19665
흑당버블티,2024-02-01,0.20742
흑당버블티,2024-03-01,0.1969
흑당버블티,2024-04-01,0.22448
흑당버블티,2024-05-01,0.21396
흑당버블티,2024-06-01,0.21164
흑당버블티,2024-07-01,0.1981
흑당버블티,2024-08-01,0.21174
흑당버블티,2024-09-01,0.17883
흑당버블티,2024-10-01,0.16549
흑당버블티,2024-11-01,0.13831
흑당버블티,2024-12-01,0.1516
흑당버블티,2025-01-01,0.1754
흑당버블티,2025-02-01,0.16272
흑당버블티,2025-03-01,0.17123
흑당버블티,2025-04-01,0.17082
흑당버블티,2025-05-01,0.17656
흑당버블티,2025-06-01,0.16393
흑당버블티,2025-07-01,0.17782
흑당버블티,2025-08-01,0.16881
흑당버블티,2025-09-01,0.13453
흑당버블티,2025-10-01,0.13403
흑당버블티,2025-11-01,0.11219
흑당버블티,2025-12-01,0.1145
달고나커피,2016-01-01,0.00125
달고나커피,2016-03-01,0.00025
달고나커피,2016-04-01,0.0011
달고나커피,2016-05-01,0.0005
달고나커피,2016-06-01,0.00035
